T,E
1.0205395466524234,-512.0
1.3869780242779817,-500.0
1.426701536634083,-504.0
1.3017122271666608,-504.0
1.1653678710274333,-496.0
1.400435796053316,-512.0
1.1008910553595277,-492.0
1.1824596805391263,-504.0
1.492284304125377,-492.0
1.4283071420461877,-504.0
1.2470708232587118,-512.0
1.162912679069076,-512.0
1.1206860308133315,-512.0
1.4576493801427775,-496.0
1.1134546745254421,-512.0
1.389191748536881,-504.0
1.1481810285055825,-512.0
1.1551618364500473,-512.0
1.1148280149994276,-436.0
1.3968410752799862,-512.0
1.1939208475818248,-512.0
1.1266277372000988,-416.0
1.033279428477589,-512.0
1.3262596003763316,-512.0
1.460485236243725,-512.0
1.1441141227439526,-512.0
